,country,new_name,simple,complex
102,8,legal entities,0.05380013478016842,0.002362279326043457
103,8,business entity,0.046333739577849996,0.0010293673821441963
104,8,states of the east coast of the united states,0.0379349770721526,0.000434709584866171
105,8,candy,0.028282347136230873,0.00023341689786080924
106,8,manufacturing,0.028282347136230873,0.00029272305437996504
107,8,business law,0.028282347136230873,0.00034249186766128944
108,8,month,0.04759215993475859,0.0009310654341028527
109,8,promotion and marketing communications,0.032280080868101045,0.00040685293322387375
110,8,communication design,0.0252899847147684,0.0004970203538426153
111,8,organizational structure,0.028282347136230873,0.00042124679082076576
